Country,pop_total,pop_under_18,pop_under_5,under_five_mort_male,under_five_mort_female,infant_mort,neonatal_mort,age_5_14_mort_rate,stillbirth_rate,under_5_death,neonatal_deaths,age_5_14_deaths,stillbirth,univ_health,vacc_bcg,vacc_dtp1,vacc_dtp3,vacc_polio3,vacc_mcv1,vacc_mcv2,vacc_hepb3,vacc_hib3,vacc_rota,vacc_pcv3,vacc_pab_tetanus,ado_mort,ado_deaths,vacc_hpv_girls,mothers_cash_benefit,gini_coef,palma_index,vmir,gdp_capita,water_house,sanitation_house,hygiene_house,mat_leave_benefits,pat_leave_benefits,total_unemployement_rate_m,total_unemployement_rate_f,financial_inclusion_m,financial_inclusion_f
Monaco,37,6,2,3,3,1,2,1,2,1,0,0,1,-,-,99,99,99,88,80,99,99,-,-,-,2,0,-,-,-,-,-,"185,829",100,100,100,-,-,-,-,-,-
Mongolia,"3,348","1,220",380,16,13,13,8,3,4,"1,074",541,222,316,63,99,97,95,97,95,94,95,95,-,95,-,5,254,-,100,33,1.3,0.7,"4,340",85,68,41,Yes,No,6,5,91,95
Montenegro,628,136,37,2,2,2,1,1,3,16,7,7,24,67,76,94,83,83,18,79,51,83,-,-,-,2,16,-,100,34,1.3,0.7,"8,910",99,98,-,Yes,No,15,16,-,-
Montserrat,4,1,0,5,5,5,3,1,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,-,-,-,-,-,-,98,89,100,-,-,-,-,-,-
Morocco,"37,077","11,779","3,285",20,16,15,11,2,13,"11,788","7,239","1,626","8,722",73,99,99,99,99,99,99,99,99,98,98,90,3,"1,866",-,-,40,1.8,0.7,"3,204",90,87,88,Yes,Yes,9,11,41,17
Mozambique,"32,077","16,168","5,260",74,65,51,28,13,17,"79,353","32,279","11,828","20,723",47,79,67,61,67,84,70,61,61,73,70,84,15,"11,103",-,0,47,3.8,0.5,504,63,37,-,No,Yes,3,4,51,33
Myanmar,"53,798","16,125","4,491",46,38,34,22,4,15,"38,581","19,939","3,763","13,579",61,48,45,37,43,44,42,37,37,33,40,88,6,"5,232",-,2,31,1.2,0.7,"1,408",84,74,59,Yes,Yes,0,1,26,26
Namibia,"2,530","1,060",333,43,35,29,19,13,17,"2,703","1,352",756,"1,222",62,99,97,93,92,90,63,93,93,90,78,90,13,688,-,25,56,6.2,0.5,"4,957",84,35,-,No,No,21,19,-,-
Nauru,13,6,2,30,25,23,18,6,12,10,6,2,4,-,99,99,98,98,98,97,98,98,60,59,-,8,2,-,-,-,1.9,-,"9,397",100,-,80,-,-,-,-,-,-
Nepal,"30,035","10,742","2,952",29,25,23,16,5,16,"16,392","9,853","2,775","9,739",53,95,92,91,91,90,87,91,91,76,84,91,6,"3,964",-,10,33,1.3,0.7,"1,071",90,77,-,Yes,Yes,3,3,-,-
Netherlands,"17,502","3,309",866,4,4,4,3,1,2,713,482,133,402,86,-,98,95,95,93,90,93,94,-,93,-,1,273,66,100,28,1.0,0.8,"52,295",100,98,100,Yes,Yes,3,3,99,100
New Zealand,"5,130","1,159",310,5,4,4,3,1,3,297,162,67,167,86,-,93,90,90,91,82,90,90,90,95,-,3,165,48,100,34,1.4,-,"41,558",100,100,-,Yes,No,4,4,-,-
Nicaragua,"6,851","2,451",698,15,12,11,7,3,10,"1,868","1,036",447,"1,396",70,86,88,87,88,83,83,87,87,87,87,92,6,740,-,18,46,2.6,0.6,"1,913",82,73,40,No,Yes,5,5,-,-
Niger,"25,253","14,056","4,972",119,111,60,34,33,21,"124,291","38,501","25,100","25,078",37,95,94,82,82,80,66,82,82,85,82,83,22,"13,663",-,-,34,1.4,0.7,554,47,15,15,Yes,Yes,1,0,20,11
Nigeria,"213,401","106,611","34,831",117,104,71,35,20,22,"852,298","276,463","116,311","182,307",44,75,70,56,53,59,36,56,56,-,52,65,15,"73,790",-,0,35,1.4,0.6,"2,230",78,43,19,No,No,9,8,51,27
Niue,2,1,0,27,22,20,13,5,10,1,0,0,0,-,88,99,99,99,99,99,99,99,99,99,-,7,0,76,-,-,-,-,-,97,96,100,-,-,-,-,-,-
North Macedonia,"2,103",408,105,6,5,5,3,2,4,108,69,35,77,68,93,89,81,81,70,80,79,81,65,53,-,2,54,21,100,31,1.1,0.7,"6,022",98,98,-,Yes,Yes,17,18,-,-
Norway,"5,403","1,108",280,2,2,2,1,1,2,117,69,41,113,86,-,98,97,97,97,95,96,97,96,96,-,2,105,93,100,25,0.9,0.8,"75,420",100,98,100,Yes,Yes,4,3,99,100
Oman,"4,520","1,369",443,11,9,9,5,2,6,870,380,180,474,69,99,99,99,99,99,99,99,99,-,99,99,4,215,-,-,40,-,-,"15,343",92,99,100,No,No,1,7,-,-
Pakistan,"231,402","100,538","29,604",68,59,53,39,8,31,"399,429","251,307","42,924","203,374",45,93,90,83,83,81,79,83,83,87,83,86,9,"45,440",-,-,33,1.4,0.7,"1,285",90,68,-,Yes,No,4,4,35,7
Palau,18,5,1,18,14,15,9,4,7,4,2,0,2,-,-,99,95,95,93,84,96,89,82,77,-,9,2,21,-,51,3.8,-,"14,902",100,100,89,No,No,-,-,-,-
Panama,"4,351","1,366",385,15,12,12,8,3,8,"1,067",596,232,582,77,99,93,74,74,80,97,74,74,86,74,-,5,380,-,19,51,3.4,0.6,"15,731",94,85,55,Yes,Yes,4,6,-,-
Papua New Guinea,"9,949","4,057","1,207",46,39,34,21,8,15,"10,765","5,382","1,839","3,811",33,42,39,31,32,38,20,31,31,-,32,67,10,"2,079",-,-,42,2.1,0.7,"2,829",45,19,12,No,No,3,1,-,-
Paraguay,"6,704","2,305",682,20,16,16,10,3,10,"2,512","1,335",332,"1,400",61,79,79,70,66,68,67,70,70,68,62,96,6,737,17,8,47,2.8,0.6,"5,415",100,93,-,Yes,Yes,5,8,-,-
Peru,"33,715","10,639","2,917",15,13,11,7,2,7,"8,333","4,235","1,475","3,962",78,87,90,82,79,78,60,82,82,82,75,95,3,"2,033",53,9,43,2.2,0.6,"6,978",93,79,-,Yes,Yes,3,3,51,34
Philippines,"113,880","41,441","11,923",28,23,20,12,5,10,"63,392","30,500","10,575","25,531",55,47,57,57,56,57,55,57,57,-,51,91,6,"13,297",0,12,44,2.3,0.6,"3,485",94,82,61,Yes,Yes,2,3,30,39
Poland,"38,308","6,982","1,908",5,4,4,3,1,3,"1,614","1,005",376,941,74,91,99,90,91,80,95,90,90,-,62,-,2,905,-,100,29,1.0,0.8,"15,695",100,100,100,Yes,Yes,3,4,-,-
Portugal,"10,290","1,690",433,3,3,3,2,1,2,255,137,78,180,84,-,99,99,99,98,95,99,99,-,98,-,2,166,76,100,32,1.2,0.7,"23,214",100,100,100,Yes,Yes,6,7,-,-
Qatar,"2,688",475,145,6,5,5,3,1,3,152,88,37,73,74,99,99,98,98,99,99,98,98,98,98,-,2,45,-,-,40,-,-,"62,088",100,100,100,No,No,0,0,-,-
Republic of Korea,"51,830","7,517","1,651",3,3,2,1,1,2,860,400,341,505,87,98,98,98,98,98,96,98,98,-,98,-,2,718,-,-,35,1.4,0.8,"31,846",100,100,100,Yes,Yes,4,4,95,95
Republic of Moldova,"3,062",709,202,16,13,12,11,2,7,552,402,98,268,67,98,87,87,88,83,92,87,87,60,78,-,4,149,35,100,26,0.9,0.8,"4,494",91,79,100,Yes,Yes,6,4,43,45
Romania,"19,329","3,722","1,029",7,6,5,3,2,3,"1,281",632,341,665,71,97,95,86,86,86,75,86,86,-,85,-,3,612,-,100,35,1.4,0.8,"12,913",100,87,72,-,-,4,3,62,54
Russian Federation,"145,103","30,178","7,890",6,5,4,2,2,3,"7,347","2,857","3,103","4,616",75,95,97,97,97,97,96,97,-,-,89,-,4,"5,942",-,63,35,1.4,0.7,"11,585",97,89,-,Yes,No,5,4,75,76
Rwanda,"13,462","6,162","1,889",43,36,30,18,15,17,"15,638","7,070","5,184","6,876",54,89,90,88,88,87,85,88,88,89,88,97,10,"3,289",73,1,44,2.3,0.6,820,60,69,52,No,Yes,1,1,-,-
Saint Kitts and Nevis,48,11,3,16,13,12,10,3,8,9,6,2,5,-,96,97,96,96,96,94,96,96,-,-,-,7,5,84,78,40,-,-,"19,935",-,-,-,No,No,-,-,-,-
Saint Lucia,180,40,10,27,22,22,13,3,11,52,27,7,23,72,81,89,80,75,77,66,80,80,-,-,-,5,13,62,39,51,3.5,0.6,"11,611",97,83,97,No,No,14,17,-,-
Saint Vincent and the Grenadines,104,27,7,15,12,13,8,5,12,19,11,7,16,73,99,99,97,99,99,99,97,97,-,-,-,9,14,-,29,40,-,-,"7,458",-,-,99,No,No,20,17,-,-
Samoa,219,96,29,18,15,14,7,2,8,99,39,13,46,53,92,96,85,80,62,50,85,85,30,3,-,5,20,-,29,39,1.8,0.7,"4,324",92,97,100,No,Yes,7,10,-,-
San Marino,34,5,1,2,2,2,1,1,2,0,0,0,0,-,-,91,90,90,89,81,90,90,-,82,-,1,0,23,100,28,-,-,"48,995",100,100,100,Yes,No,-,-,-,-
Sao Tome and Principe,223,105,30,17,14,12,8,3,9,97,48,19,56,60,93,97,97,93,77,69,97,97,78,97,99,8,39,-,2,56,4.2,0.8,"1,947",78,48,-,Yes,No,9,21,-,-
Saudi Arabia,"35,950","11,026","3,187",7,7,6,3,2,4,"4,350","2,060","1,018","2,680",73,94,97,97,97,98,97,97,97,97,97,-,5,"2,786",-,-,42,-,-,"23,140",100,100,100,No,Yes,3,23,81,58
Senegal,"16,877","8,168","2,571",42,35,29,21,8,19,"20,831","11,590","3,608","10,713",49,87,87,85,78,87,75,86,86,84,86,96,10,"3,792",21,3,40,1.9,0.7,"1,447",85,57,22,Yes,Yes,6,7,-,-
Serbia,"7,297","1,253",345,6,5,5,4,1,5,374,240,80,327,71,98,97,92,92,78,84,87,92,-,87,-,2,168,-,-,33,1.3,0.7,"7,412",95,98,98,Yes,Yes,10,11,73,70
Seychelles,106,29,9,15,13,12,9,2,9,23,14,4,15,70,99,99,94,94,94,86,94,94,98,95,100,6,8,39,-,47,2.6,0.6,"17,448",-,100,100,Yes,Yes,-,-,-,-
Sierra Leone,"8,421","3,880","1,188",111,98,78,31,25,23,"27,155","8,166","5,444","6,254",39,74,94,92,90,87,67,92,92,75,90,93,26,"5,072",-,-,36,1.5,0.7,528,64,17,-,No,No,5,4,-,-
Singapore,"5,941",860,246,2,2,2,1,1,2,87,32,29,79,86,98,98,96,96,95,84,96,96,-,82,-,1,63,-,89,47,1.9,-,"65,233",100,100,100,Yes,Yes,3,3,100,96
Slovakia,"5,448","1,026",289,6,5,5,3,1,3,312,152,69,168,77,-,97,97,97,95,96,97,97,-,97,-,2,128,-,100,23,0.7,0.8,"19,266",100,98,100,Yes,No,6,6,85,83
Slovenia,"2,119",380,101,2,2,2,1,1,3,42,24,15,49,80,-,92,86,86,95,91,86,86,-,58,-,2,30,50,96,24,0.8,0.8,"25,941",100,98,100,Yes,Yes,4,5,98,97
Solomon Islands,708,323,101,20,17,16,8,4,9,393,160,73,196,50,83,95,87,84,67,40,87,87,75,86,90,6,92,-,24,37,1.6,0.7,"2,374",67,35,12,No,No,1,1,-,-
Somalia,"17,066","9,212","3,200",117,105,71,36,25,28,"79,723","26,719","12,490","21,450",27,37,52,42,47,46,4,42,42,-,-,60,26,"10,376",-,-,41,1.9,-,127,56,39,-,Yes,No,13,13,-,-
South Africa,"59,392","19,961","5,813",35,30,26,11,6,16,"38,868","12,979","6,240","19,337",67,86,91,86,86,87,82,86,86,85,87,88,10,"10,356",34,8,67,10.1,0.4,"6,001",94,78,-,Yes,Yes,27,31,68,70
South Sudan,"10,748","5,621","1,486",104,94,64,40,22,26,"31,312","12,408","7,502","8,312",32,52,51,49,50,49,-,49,49,-,-,65,24,"6,688",-,-,46,2.7,0.6,"1,120",41,16,18,No,Yes,11,13,-,-
Spain,"47,487","8,198","1,897",3,3,3,2,1,2,"1,089",637,322,776,86,-,96,92,92,95,91,92,91,58,92,-,1,560,77,100,33,1.3,0.7,"29,565",100,100,100,Yes,Yes,13,16,96,92
Sri Lanka,"21,773","6,120","1,562",7,6,6,4,2,6,"2,088","1,179",527,"1,849",67,99,96,96,96,97,97,96,96,-,-,99,2,858,46,29,45,2.5,0.7,"3,853",92,94,-,No,No,3,7,-,-
State of Palestine,"5,133","2,339",712,16,13,13,9,3,9,"2,147","1,350",449,"1,377",-,99,99,95,95,98,99,95,95,87,95,-,5,579,-,7,45,2.5,0.7,"3,562",98,99,21,-,-,21,41,34,16
Sudan,"45,657","21,570","7,084",60,50,39,27,8,22,"82,570","40,883","9,027","34,499",44,80,94,84,85,81,63,84,84,84,85,81,13,"12,616",-,-,34,1.4,0.7,442,60,37,8,No,No,11,29,20,10
Suriname,613,195,54,19,15,15,11,4,11,190,119,42,123,67,-,81,72,72,58,43,72,72,-,-,95,7,76,2,0,38,5.8,0.5,"6,360",98,90,-,Yes,Yes,4,11,-,-
Sweden,"10,467","2,215",595,3,2,2,1,1,2,279,153,85,278,87,24,98,98,98,97,91,98,98,84,97,-,2,188,83,100,28,1.0,0.8,"51,648",100,99,-,Yes,Yes,7,7,-,-
Switzerland,"8,691","1,560",436,4,4,3,3,1,2,332,235,60,211,87,-,97,96,96,95,94,73,95,-,88,-,2,129,71,100,31,1.2,0.7,"81,989",100,100,100,Yes,No,4,5,-,-
Syrian Arab Republic,"21,324","8,679","1,892",24,20,18,11,5,11,"9,057","4,621","2,432","4,615",56,76,65,48,52,59,53,48,48,-,-,90,6,"3,242",-,-,34,1.2,0.7,"1,178",94,90,21,Yes,No,6,20,-,-
Tajikistan,"9,750","4,093","1,269",35,27,28,14,2,9,"8,189","3,540",469,"2,403",66,98,97,97,97,97,96,97,97,97,-,-,3,530,-,67,34,1.4,0.7,871,82,97,26,Yes,No,8,5,-,-
Thailand,"71,601","13,764","3,379",9,7,7,5,4,5,"5,429","3,035","3,357","3,531",83,99,99,97,97,96,87,97,76,71,-,99,8,"6,849",-,40,36,1.5,0.7,"7,807",100,99,100,No,No,1,1,84,80
Timor-Leste,"1,321",562,157,55,46,43,22,9,14,"1,653",733,290,481,53,88,87,86,86,79,78,86,86,80,-,85,19,604,-,-,29,1.1,0.8,"1,561",85,57,60,-,-,3,6,-,-
Togo,"8,645","4,035","1,270",68,57,43,24,12,21,"16,919","6,618","2,600","5,872",44,98,88,83,81,70,50,83,83,80,83,85,12,"2,318",-,-,43,2.2,0.6,679,69,19,18,Yes,Yes,5,3,53,38
Tokelau,2,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,97,100,-,-,-,-,-,-
Tonga,106,44,12,12,10,10,5,2,6,27,12,5,16,56,99,99,99,99,99,99,99,99,-,67,-,4,9,-,26,38,1.6,0.7,"4,903",99,93,91,No,No,3,4,-,-
Trinidad and Tobago,"1,526",353,92,18,15,15,10,2,9,294,184,44,157,73,-,95,94,94,93,88,94,94,-,95,-,6,123,8,40,40,1.9,0.7,"17,398",99,94,-,Yes,No,4,4,-,-
Tunisia,"12,263","3,574","1,035",18,15,14,12,3,11,"3,281","2,278",636,"2,097",70,85,99,97,97,95,98,95,97,-,96,97,5,820,-,25,33,1.3,0.7,"3,317",98,97,-,No,Yes,12,22,46,28
Türkiye,"84,775","23,673","6,610",10,8,8,5,2,4,"11,390","5,883","2,341","5,280",79,95,95,95,95,96,93,96,95,-,96,97,3,"3,499",-,-,42,2.0,0.6,"9,127",97,99,-,Yes,Yes,12,16,-,-
Turkmenistan,"6,342","2,282",688,47,35,36,23,4,9,"5,728","3,217",473,"1,309",73,98,99,97,97,97,98,97,97,97,97,-,6,657,99,-,27,2.0,0.7,"6,967",100,99,100,-,-,5,2,-,-
Turks and Caicos Islands,45,9,3,5,4,4,2,1,-,2,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,58,-,-,-,"31,353",-,-,100,-,-,-,-,-,-
Tuvalu,11,4,1,23,19,18,10,5,9,6,3,1,2,-,99,99,94,87,93,84,94,94,59,-,-,7,1,27,-,39,1.8,0.7,"4,059",100,-,100,-,-,-,-,-,-
Uganda,"45,854","24,092","7,690",47,37,31,19,13,15,"69,025","32,037","17,089","25,855",50,83,97,91,91,90,-,91,91,87,91,83,18,"20,789",44,5,43,2.1,0.6,794,56,20,32,No,Yes,1,2,-,-
Ukraine,"43,531","7,898","1,798",9,7,7,5,2,5,"2,834","1,622",802,"1,669",73,86,91,78,78,88,86,77,87,-,-,-,3,"1,490",-,100,26,0.9,0.8,"3,659",94,98,82,Yes,No,9,8,65,61
United Arab Emirates,"9,365","1,599",482,7,6,5,3,2,5,618,337,148,454,78,99,96,96,96,99,96,95,96,91,95,-,3,200,-,-,33,1.2,-,"43,103",100,99,100,No,Yes,1,6,93,76
United Kingdom,"67,281","14,169","3,652",5,4,4,3,1,3,"2,864","1,893",585,"1,836",88,-,97,93,93,91,87,93,93,91,91,-,2,"1,236",59,100,35,1.3,0.7,"42,329",100,99,-,Yes,Yes,4,4,-,-
United Republic of Tanzania,"63,588","32,079","10,537",51,43,34,20,13,18,"105,694","46,050","22,341","42,873",46,75,82,81,70,76,62,81,81,77,80,90,11,"16,773",57,0,40,1.9,0.7,"1,122",61,32,15,No,Yes,2,3,-,-
United States,"336,998","74,735","19,164",7,6,5,3,1,3,"23,162","12,169","5,703","10,196",83,-,97,93,92,91,95,91,90,75,82,-,4,"16,379",48,-,42,2.0,0.7,"65,298",100,100,100,No,Yes,4,4,-,-
Uruguay,"3,426",811,195,6,5,5,4,1,5,211,143,70,173,79,99,95,89,89,96,84,89,89,-,94,-,4,207,17,100,39,1.8,0.7,"16,190",99,98,-,Yes,Yes,8,11,68,61
Uzbekistan,"34,081","11,809","3,847",16,12,13,8,3,6,"11,404","6,172","2,043","4,740",71,99,99,98,99,99,99,98,98,80,98,-,5,"2,808",87,16,40,1.5,0.7,"1,725",98,100,87,Yes,No,6,6,38,36
Vanuatu,319,145,45,25,21,20,10,5,11,216,93,40,101,52,76,71,62,62,50,-,62,62,9,2,78,7,45,-,-,38,1.6,0.7,"3,115",91,53,-,No,No,2,1,-,-
Venezuela (Bolivarian Republic of),"28,200","9,560","2,396",26,22,21,15,4,11,"11,322","6,779","2,006","4,882",70,68,73,56,50,68,37,56,56,0,0,67,13,"7,150",-,-,38,1.6,0.6,"16,054",94,96,-,Yes,Yes,7,8,-,-
Viet Nam,"97,468","26,183","7,368",24,17,16,11,3,8,"30,455","15,404","3,982","11,822",70,88,87,83,81,89,85,83,83,-,-,96,4,"6,184",-,44,42,1.5,0.7,"2,715",97,89,-,Yes,Yes,2,2,31,30
Yemen,"32,982","15,348","4,714",66,58,47,28,7,23,"61,914","28,554","5,902","24,195",44,70,82,72,66,71,52,72,72,73,72,73,11,"8,001",-,-,37,1.6,0.7,774,61,54,-,No,No,12,25,-,-
Zambia,"19,473","9,768","3,073",62,53,40,25,10,14,"37,822","16,492","5,558","9,703",55,92,94,91,87,90,81,91,91,87,89,83,12,"5,620",33,4,57,5.0,0.5,"1,305",65,32,57,Yes,No,11,13,52,40
Zimbabwe,"15,994","7,622","2,300",54,45,36,25,11,19,"23,960","12,211","4,684","9,711",55,88,93,86,86,85,74,86,86,88,86,87,16,"5,996",40,-,44,2.3,0.6,"1,464",63,35,-,Yes,No,5,6,59,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
