Country,pop_total,pop_under_18,pop_under_5,under_five_mort_male,under_five_mort_female,infant_mort,neonatal_mort,age_5_14_mort_rate,stillbirth_rate,under_5_death,neonatal_deaths,age_5_14_deaths,stillbirth,univ_health,vacc_bcg,vacc_dtp1,vacc_dtp3,vacc_polio3,vacc_mcv1,vacc_mcv2,vacc_hepb3,vacc_hib3,vacc_rota,vacc_pcv3,vacc_pab_tetanus,ado_mort,ado_deaths,vacc_hpv_girls,mothers_cash_benefit,gini_coef,palma_index,vmir,gdp_capita,water_house,sanitation_house,hygiene_house,mat_leave_benefits,pat_leave_benefits,total_unemployement_rate_m,total_unemployement_rate_f,financial_inclusion_m,financial_inclusion_f
Canada,"38,155","7,215","1,901",5,5,4,3,1,3,"1,873","1,274",368,"1,041",89,-,94,92,92,90,83,84,92,84,84,-,2,930,87,100,30,1.1,0.7,"46,190",99,99,-,Yes,Yes,6,5,-,-
Central African Republic,"5,457","3,045",985,107,93,75,32,23,26,"22,387","7,483","3,924","6,337",32,61,54,42,46,41,-,42,42,-,40,65,22,"3,284",-,0,56,4.5,0.5,468,37,14,-,Yes,Yes,4,4,-,-
Chad,"17,180","9,343","3,218",114,100,66,32,23,25,"76,471","24,070","11,491","19,317",28,67,73,58,58,55,-,58,58,-,-,75,25,"10,289",-,-,43,2.2,0.6,710,46,12,20,Yes,Yes,2,2,-,-
Chile,"19,493","4,313","1,151",7,6,6,4,1,3,"1,492",981,308,609,80,98,99,95,95,92,58,98,95,-,92,-,3,725,57,47,48,2.9,0.6,"14,896",100,100,-,Yes,Yes,7,8,78,71
China,"1,425,893","300,092","74,790",7,7,5,3,2,5,"88,271","34,850","31,781","53,551",82,99,99,99,99,99,99,99,-,-,-,-,2,"36,785",-,69,47,1.7,0.7,"10,217",94,92,-,Yes,Yes,5,4,-,-
Colombia,"51,517","13,536","3,670",14,11,11,7,2,7,"9,382","5,106","1,748","5,255",78,87,90,86,86,86,86,86,86,86,84,97,5,"4,304",11,-,53,3.9,0.6,"6,429",97,94,-,Yes,Yes,8,13,49,42
Comoros,822,363,114,52,47,39,26,5,24,"1,192",622,109,600,44,96,95,85,89,82,19,85,85,-,-,83,5,90,-,-,45,2.5,0.6,"1,370",-,-,-,Yes,No,6,10,-,-
Congo,"5,836","2,786",847,47,39,32,18,7,16,"7,604","3,297","1,050","2,868",40,81,81,77,75,68,31,77,77,23,75,87,8,"1,023",-,-,49,3.1,0.6,"2,280",74,20,-,Yes,No,9,10,-,-
Cook Islands,17,5,1,7,7,6,4,2,5,2,1,0,1,-,99,99,98,98,99,98,98,98,-,-,-,6,1,-,-,-,-,-,-,100,99,100,-,-,-,-,-,-
Costa Rica,"5,154","1,278",329,8,7,6,5,2,4,479,328,121,260,78,88,99,99,99,89,69,94,99,91,92,-,3,249,59,23,50,3.1,0.6,"12,244",100,98,81,Yes,No,9,15,75,61
Côte d'Ivoire,"27,478","13,379","4,202",83,67,56,32,24,22,"68,056","30,095","17,524","21,042",45,93,85,76,73,68,1,76,76,58,57,86,20,"13,547",41,-,61,6.4,0.7,"2,276",71,35,-,Yes,Yes,3,4,47,36
Croatia,"4,060",691,180,5,4,4,3,1,3,165,97,50,105,73,97,98,92,92,89,90,90,92,-,75,-,3,102,-,100,29,1.0,0.8,"14,944",-,97,99,Yes,Yes,6,7,-,-
Cuba,"11,256","2,142",553,5,4,4,2,2,7,526,239,222,703,80,99,99,99,98,99,99,99,99,-,-,-,3,374,-,43,27,0.9,-,"8,822",97,91,100,-,-,2,2,-,-
Cyprus,"1,244",236,67,3,3,2,2,1,3,36,21,15,33,79,-,98,96,96,86,88,94,92,-,81,-,2,21,-,100,31,1.2,0.7,"27,858",100,99,-,Yes,Yes,6,8,87,90
Czechia,"10,511","1,983",551,3,2,2,1,1,3,293,150,97,285,78,-,98,94,94,97,90,94,94,-,-,-,2,182,-,100,24,0.8,0.8,"23,490",100,99,-,Yes,Yes,2,2,84,79
Democratic People's Republic of Korea,"25,972","5,940","1,700",17,14,10,8,3,8,"5,297","2,835","1,122","2,878",68,95,42,41,0,42,41,41,41,-,-,98,5,"1,817",-,-,-,-,-,-,94,85,-,-,-,3,2,-,-
Democratic Republic of the Congo,"95,894","50,791","17,698",85,72,62,26,20,28,"307,593","106,733","54,698","114,852",39,67,81,65,65,55,-,65,65,52,63,80,26,"56,702",-,-,42,2.1,0.6,581,46,15,-,-,-,5,3,-,-
Denmark,"5,854","1,152",310,4,3,3,2,1,2,222,156,41,121,85,-,98,97,97,95,94,-,97,-,96,-,1,87,80,100,28,1.0,0.8,"60,213",100,100,100,Yes,Yes,5,5,100,100
Djibouti,"1,106",409,116,59,49,46,30,12,27,"1,316",725,279,674,48,61,70,59,59,50,48,59,59,66,59,98,15,349,-,5,42,2.0,0.7,"3,415",76,67,94,Yes,Yes,11,11,-,-
Dominica,72,18,5,39,33,32,28,3,15,34,27,3,15,-,89,96,92,92,92,88,92,92,-,-,-,3,4,68,39,44,2.5,-,"8,111",-,-,100,No,No,-,-,-,-
